,@context,@type,author.@type,author.name,author.sameAs,author.url,claimReviewed,datePublished,itemReviewed.@type,itemReviewed.author.@type,itemReviewed.author.name,itemReviewed.author.sameAs,itemReviewed.datePublished,reviewRating.@type,reviewRating.alternateName,reviewRating.bestRating,reviewRating.ratingValue,reviewRating.worstRating,url
31,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,"Op sociale media circulert het 'spel' Rode Uil, dat kinderen aanmoedigt tot zelfdoding.",2017/12/21,CreativeWork,Organization,112vdg.nl,https://112vdg.nl/2017/12/19/nieuw-zelfmoordspel-op-instagram/,2017/12/19,Rating,niet te checken,3,-1,1,http://nieuwscheckers.nl/nieuwscheckers/russisch-zelfmoordspel-een-gevaar-voor-nederlandse-kinderen/
32,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,,2017/12/21,CreativeWork,Organization,,,1970/01/01,Rating,,3,,1,http://nieuwscheckers.nl/nieuwscheckers/hoe-drie-scholieren-journalisten-in-de-val-lieten-trappen-van-bram-bitcoin-van-stadt/
33,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Slapen met je kat of je hond in bed is gevaarlijk voor je gezondheid.,2017/12/22,CreativeWork,Organization,vrouwendingen.com,http://vrouwendingen.com/index.php/slapen-honden/,,Rating,waar,3,3,1,http://nieuwscheckers.nl/nieuwscheckers/huisdier-is-ziekteverwekker-ook-buiten-de-slaapkamer/
34,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Op internet circuleren gevaarlijke Winx Club-video's die Nederlandse kinderen aansporen om dodelijke opdrachten uit te voeren.,2017/12/21,CreativeWork,Organization,Wij à la Mama,https://wijalamama.nl/ouders-opgelet-zeer-gevaarlijke-youtube-videos-in-omloop-let-op-schokkend/,2017/03/10,Rating,deels onwaar,3,2,1,http://nieuwscheckers.nl/nieuwscheckers/gevaarlijke-videos-geven-dodelijke-opdrachten-aan-kinderen/
35,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Je kunt je geheime Facebook-volgers zien door ze met de woorden 'following me' op te sporen en te blokkeren.,2018/01/31,CreativeWork,Organization,www.elle.nl,http://www.elle.nl/lifestyle/lifestyle-nieuws/a570559/facebook-truc-mensen-die-je-volgen-zonder-dat-je-het-doorhebt/,2018/01/24,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/dit-trucje-onthult-je-geheime-facebookvolgers/
36,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Het drinken van één eetlepel olijfolie op de lege maag heeft negen verrassende voordelen voor je gezondheid.,2018/01/05,CreativeWork,Organization,smaakvollerecepten.nl,http://www.smaakvollerecepten.nl/redenen-drinken-olijfolie/,2017/12/07,Rating,deels onwaar,3,2,1,http://nieuwscheckers.nl/nieuwscheckers/olijfolie-op-je-nuchtere-maag-goed-voor-je-gezondheid/
37,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Chemotherapie kan de circulatie van kankercellen dramatisch vergroten; het toedienen van een combinatie van zuiveringszout met citroen is maar liefst 10.000 keer effectiever.,2018/01/05,CreativeWork,Organization,worldunity.me,http://worldunity.me/premium/2017/09/19/waarom-blijven-we-chemotherapie-toepassen-en-wordt-het-middel-dat-10-000-keer-krachtiger-is-verzwegen/,,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/zuiveringszout-met-citroen-werkt-10-000-keer-beter-tegen-kanker-dan-chemotherapie/
38,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Een veelvoorkomende kamerplant kan een kind binnen 1 minuut en een volwassene binnen 15 minuten doden.,2017/12/22,CreativeWork,Organization,nieuws-dump.nl,http://www.nieuws-dump.nl/planten-gezond/,2017/12/15,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/populaire-kamerplant-doodt-kinderen-binnen-een-minuut/
39,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,De clownvis wordt met uitsterven bedreigd door de opwarming van de oceaan en de film <em>Finding Nemo</em>.,2017/11/15,CreativeWork,Organization,RTL.nieuws.nl,https://www.rtlnieuws.nl/nieuws/laatste-videos-nieuws/finding-nemo-misschien-sterft-hij-wel-uit,2017/10/13,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/sterft-clownsvis-uit-door-finding-nemo/
40,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Isla Bonita heeft een caloriearme variant van de avocado geproduceerd door de vruchten onder specifieke omstandigheden te laten groeien.,2017/11/15,CreativeWork,Organization,www.lindanieuws.nl,https://www.lindanieuws.nl/lifestyle/etendrinken/het-kan-altijd-gezonder-en-dus-bestaat-er-sinds-kort-light-avocado/,2017/10/13,Rating,deels onwaar,3,2,1,http://nieuwscheckers.nl/nieuwscheckers/heeft-de-wereld-echt-een-light-avocado-nodig/
