,author.properties.image,author.properties.name,author.properties.url,author.type,claimReviewed,datePublished,itemReviewed.properties.author.properties.jobTitle,itemReviewed.properties.author.properties.name,itemReviewed.properties.author.properties.sameAs,itemReviewed.properties.author.type,itemReviewed.properties.datePublished,itemReviewed.properties.image,itemReviewed.properties.name,itemReviewed.type,reviewRating.properties.alternateName,reviewRating.properties.bestRating,reviewRating.properties.image,reviewRating.properties.ratingValue,reviewRating.properties.worstRating,reviewRating.type,sameAs,url
59,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Texas church shooter was antifa member who vowed to start civil war.”,2017-11-08 16:33:49 UTC,–,Various websites,yournewswire.com,http://schema.org/Person,2017-11-05,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/texas-shooting-unrelated-antifa/
60,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,"Newly elected Muslim mayor just abolished Christmas in Hoboken, New Jersey.",2017-11-14 19:37:38 UTC,Website,BeforeItsNews.com,beforeitsnews.com,http://schema.org/Person,2017-11-10,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/hoboken-christmas-hoax/
61,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,"“Trump abruptly shuts down dogs for wounded warriors program, leaving vets high and dry on Veterans Day.”",2017-11-16 17:28:45 UTC,–,Various websites,https://first.thepoliticalvoice.com,http://schema.org/Person,2017-11-11,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/trump-didnt-cut-canine-program/
62,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,"“The Trump-Republican tax plan delivers a huge tax cut to millionaires, billionaires and wealthy corporations. And the middle class gets stuck with the tab.”",2017-11-16 20:06:36 UTC,A coalition of liberal groups,Not One Penny,https://notonepenny.org/,http://schema.org/Person,2017-11-14,https://www.factcheck.org/UploadedFiles/2017/11/Not-One-Penny.png,TV ad,http://schema.org/CreativeWork,Lacks Context,-1,https://dhpikd1t89arn.cloudfront.net/custom-rating/custom-ratings-23bbdef7-dc52-49ad-bafe-1e0a51fa5b52,-1,-1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/tax-cut-ad-lacks-context/
63,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,A provision of the Senate tax bill eliminating the penalty for not buying health insurance would have “no impact on anyone” who buys coverage on the Affordable Care Act exchanges.,2017-11-21 17:18:33 UTC,U.S. Senator,Tom Cotton,https://www.cotton.senate.gov/,http://schema.org/Person,2017-11-19,https://www.factcheck.org/UploadedFiles/2014/12/Cotton-terrorism.png,CBS’ “Face the Nation”,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/cottons-false-insurance-assurance/
64,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,FDA ANNOUNCED THAT VACCINES ARE CAUSING AUTISM! Is this true?,2017-11-22 16:42:01 UTC,–,Ask FactCheck,http://amindunchained.com,http://schema.org/Person,2017-11-21,https://www.factcheck.org/UploadedFiles/2013/05/AskFactCheck.png,Email to Ask FactCheck,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/debunking-false-vaccine-claim/
65,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Passing the Senate’s Bipartisan Health Care Stabilization Act and the Tax Cuts and Jobs Act would result in “net lower premiums” for health insurance.,2017-11-22 23:08:07 UTC,U.S. Senator,Bill Cassidy,https://www.cassidy.senate.gov/,http://schema.org/Person,2017-11-20,https://www.factcheck.org/UploadedFiles/2017/04/Cassidy.png,Fox News interview,http://schema.org/CreativeWork,Spins the Facts,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/spins.png,2,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/cassidys-health-care-premium-spin/
66,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“We provide tax relief at every level under the House tax reform plan that we passed.”,2017-11-29 21:40:54 UTC,"Chairman, House Ways and Means Committee",Rep. Kevin Brady,https://kevinbrady.house.gov/,http://schema.org/Person,2017-11-26,https://www.factcheck.org/UploadedFiles/2017/11/Kevin-Brady.png,Fox News interview,http://schema.org/CreativeWork,Misleading,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/misleading.png,6,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/cherry-picking-tax-cut-estimates/
67,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Canada legalizes euthanasia for parents to kill their disabled kids.”,2017-11-29 20:59:07 UTC,–,Various websites,yournewswire.com,http://schema.org/Person,2017-11-22,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/no-child-euthanasia-canada/
68,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,"The Republican tax plans are ""going to be a job-killer.”",2017-11-29 23:55:19 UTC,Democratic Minority Leader,Rep. Nancy Pelosi,https://pelosi.house.gov/,http://schema.org/Person,2017-11-26,https://cdn.factcheck.org/UploadedFiles/Pelosi3.png,"NBC's ""Meet the Press""",http://schema.org/CreativeWork,Misleading,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/misleading.png,6,1,http://schema.org/Rating,,http://factcheck.org/2017/11/pelosis-misleading-job-killer-claim/
69,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“Muslim migrant beats up Dutch boy on crutches!”,2017-11-30 14:16:22 UTC,Deputy leader of Britain First and U.S. president,Jayda Fransen and Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2017-11-29,https://www.factcheck.org/UploadedFiles/2017/01/Trump-new-widget.png,Twitter (Fransen tweet and Trump retweet),http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/11/trump-spreads-false-anti-muslim-tweet/
70,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,"The Republican tax plan in Congress ""is going to cost me a fortune"" in higher taxes.",2017-11-30 23:37:35 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2017-11-29,https://cdn.factcheck.org/UploadedFiles/Trump-new-widget.png,Speech in Missouri,http://schema.org/CreativeWork,He's Likely To Benefit,-1,https://dhpikd1t89arn.cloudfront.net/custom-rating/custom-ratings-e74cf0aa-e19b-4093-9240-2a4c6254307e,-1,-1,http://schema.org/Rating,,http://www.factcheck.org/2017/11/trump-likely-benefits-tax-bills/
71,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,The National Rifle Association “loses as many races as it wins.”,2017-10-04 22:53:21 UTC,U.S. Senator,Chris Murphy,https://www.murphy.senate.gov/,http://schema.org/Person,2017-10-02,https://www.factcheck.org/UploadedFiles/2017/03/Chris-Murphy.png,Washington Post op-ed,http://schema.org/CreativeWork,Cherry Picks,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/cherrypicks.png,10,1,http://schema.org/Rating,,https://www.factcheck.org/2017/10/murphy-misses-nra-track-record/
72,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Sen. Bob Corker “gave us the Iran Deal.”,2017-10-09 22:53:35 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2017-10-08,https://www.factcheck.org/UploadedFiles/2017/01/Trump-new-widget.png,Twitter,http://schema.org/CreativeWork,Misleading,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/misleading.png,6,1,http://schema.org/Rating,,https://www.factcheck.org/2017/10/trump-misleads-corker/
73,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Teamsters’ strike in Puerto Rico slowed relief after Hurricane Maria.,2017-10-10 19:21:10 UTC,–,Multiple websites,theconservativetreehouse.com,http://schema.org/Person,2017-09-30,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,Multiple websites,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/10/puerto-rican-teamsters-stories-bogus/
74,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,Says the GOP plan raises “middle class” taxes by $470 billion.,2017-10-12 19:25:08 UTC,House Minority Leader,Nancy Pelosi,https://pelosi.house.gov/,http://schema.org/Person,2017-10-05,https://www.factcheck.org/UploadedFiles/2013/03/Pelosi.png,House floor,http://schema.org/CreativeWork,Spins the Facts,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/spins.png,2,1,http://schema.org/Rating,,http://www.factcheck.org/2017/10/tax-hike-benefit-middle-class/
75,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,Says “everybody’s gonna benefit” from his tax plan.,2017-10-12 19:28:35 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/,http://schema.org/Person,2017-10-07,https://www.factcheck.org/UploadedFiles/2016/04/Trump-Widget.jpg,TV interview,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,http://www.factcheck.org/2017/10/tax-hike-benefit-middle-class/
76,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,“President Trump Signs Executive Order Stripping NFL Of ‘Non-Profit’ Status”,2017-10-12 22:51:19 UTC,–,Multiple websites,http://freedumjunkshun.com/,http://schema.org/Person,2017-10-09,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,Multiple websites,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/10/trump-didnt-change-nfl-tax-status/
77,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,"Iran “has committed multiple violations” of the nuclear deal, specifically on heavy water limits, military inspections and advanced centrifuges.",2017-10-14 14:45:46 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2017-10-13,https://www.factcheck.org/UploadedFiles/2017/01/Trump-new-widget.png,White House,http://schema.org/CreativeWork,Not the Whole Story,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/notthewholestory.png,4,1,http://schema.org/Rating,,https://www.factcheck.org/2017/10/trump-irans-multiple-violations/
78,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Seahawks player “was captured on camera burning an American flag.”,2017-10-17 18:32:19 UTC,–,Multiple websites,defendrace.co,http://schema.org/Person,2017-10-10,https://www.factcheck.org/UploadedFiles/2017/07/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/10/seahawks-players-didnt-burn-flag/
