category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
type(Argument 2),,,,,,,,,SimpleArgument #1,SimpleArgument #1,SimpleArgument #2,SimpleArgument #2,SimpleArgument #3,SimpleArgument #3,SimpleArgument #4,SimpleArgument #4,TemporalArgument #1,TemporalArgument #1,TemporalArgument #2,TemporalArgument #2,TemporalArgument #3,TemporalArgument #3,SpatialArgument #1,SpatialArgument #1,SpatialArgument #2,SpatialArgument #2,
datatype,,,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,
183,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.4517038250665665,,,he,"(0, 2)",killed,"(3, 9)",somebody,"(10, 18)",,,,,,,,,,,,,,,,,115
201,"""""Border Patrol Agents are not allowed to properly do their job at the Border because of ridiculous liberal (Democrat) laws like Catch & Release.""""",0.9249022730163128,,,Border Patrol Agents,"(5, 25)",to properly do,"(42, 56)",their job,"(57, 66)",because of ridiculous liberal (Democrat) laws like Catch & Release,"(81, 147)",,,,,,,,,,,at the Border,"(67, 80)",,,124
202,"""""Border Patrol Agents are not allowed to properly do their job at the Border because of ridiculous liberal (Democrat) laws like Catch & Release.""""",0.8034186648553394,,,Border Patrol Agents,"(5, 25)",are not allowed,"(26, 41)",,,,,,,,,,,,,,,,,,,124
231,"""Jennifer Aniston is starting ""a company named 'Celebrities for Trump.'""""",0.9032970134745796,,,a company,"(34, 43)",named,"(44, 49)",Celebrities for Trump,"(51, 72)",,,,,,,,,,,,,,,,,148
232,"""Jennifer Aniston is starting ""a company named 'Celebrities for Trump.'""""",0.7877083798986204,,,Jennifer Aniston,"(3, 19)",is starting,"(20, 31)",,,,,,,,,,,,,,,,,,,148
265,"""NASA “wouldn’t have been going to Mars if my opponent won.""""",0.4073442445026419,,,my opponent,"(45, 56)",won,"(57, 60)",,,,,,,,,,,,,,,,,,,170
288,"""Claims his legislative proposal to make the DACA program permanent will “generously” cover “almost three times more people than the previous administration covered.”""",0.7508836390842847,,,the previous administration,"(131, 158)",covered,"(159, 166)",,,,,,,,,,,,,,,,,,,190
296,"""""Anybody in favor of the [diversity visa] lottery, where you pick it out and you say, 'Good, we have a new United States citizen'?""""",0.4978219019954182,,,we,"(82, 84)",have,"(85, 89)",a new United States citizen,"(90, 117)",,,,,,,,,,,,,,,,,197
297,"""""Anybody in favor of the [diversity visa] lottery, where you pick it out and you say, 'Good, we have a new United States citizen'?""""",0.3198909572915085,,,you,"(63, 66)",say,"(67, 70)",,,,,,,,,,,,,,,,,,,197
298,"""""Anybody in favor of the [diversity visa] lottery, where you pick it out and you say, 'Good, we have a new United States citizen'?""""",0.6087690648592687,,,you,"(69, 72)",pick out,"((73, 77), (81, 84))",,,,,,,,,,,,,,,the ( diversity visa ] lottery,"(30, 60)",,,197
316,"""""Forty percent of the guns in this country are sold without any background checks.""""",0.8301222329709745,,,Forty percent of the guns in this country,"(5, 46)",are sold,"(47, 55)",,,,,,,,,,,,,,,,,,,204
317,"""""Forty percent of the guns in this country are sold without any background checks.""""",0.8301222329709745,,,Forty percent of the guns in this country,"(5, 46)",are sold,"(47, 55)",,,,,,,,,,,,,,,,,,,6869
322,"""Former President George W. Bush “confirmed how dishonest the mainstream media can be.”""",0.7070423366635397,Former President George W. Bush confirmed,"(3, 45)",the mainstream media,"(60, 80)",can be,"(81, 87)",,,,,,,,,,,,,,,,,,,211
323,"""Former President George W. Bush “confirmed how dishonest the mainstream media can be.”""",0.9194960041671809,,,Former President George W. Bush,"(3, 34)",confirmed,"(36, 45)",how dishonest the mainstream media can be,"(46, 87)",,,,,,,,,,,,,,,,,211
328,"""""FBI did not disclose who the clients were — the Clinton Campaign and the DNC.""""",0.8453428833817832,,,FBI,"(10, 13)",did not disclose,"(14, 30)",who the clients were - the DNC,"(31, 61)",,,,,,,,,,,,,,,,,214
329,"""""FBI did not disclose who the clients were — the Clinton Campaign and the DNC.""""",0.6781176827319847,FBI did not disclose,"(10, 30)",the clients,"(35, 46)",were,"(47, 51)",,,,,,,,,,,,,,,,,,,214
330,"""""FBI did not disclose who the clients were — the Clinton Campaign and the DNC.""""",0.8453428833817832,,,FBI,"(10, 13)",did not disclose,"(14, 30)",who the clients were - the Clinton Campaign,"(31, 74)",,,,,,,,,,,,,,,,,214
333,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.8239830255209885,a president stepped up,"(26, 48)",a president,"(26, 37)",stepped up to address,"((38, 48), (53, 63))",gun violence,"(64, 76)",,,,,,,,,,,,,,,,,218
334,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.9143455004958408,,,a president,"(26, 37)",stepped up,"(38, 48)",to address gun violence,"(53, 76)",,,,,,,time,"(16, 20)",,,,,,,,,218
335,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.33891144351902525,,,It,"(10, 12)",'s,"(13, 15)",time that a president stepped up   to address gun violence,"(16, 76)",,,,,,,,,,,,,,,,,218
336,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.4517038250665665,,,I,87,'m talking,"(89, 99)",Republican presidents,"(100, 121)",,,,,,,,,,,,,,,,,218
337,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.2735786399569868,It 's,"(10, 15)",They,"(111, 115)",have not stepped up,"(116, 135)",,,,,,,,,,,,,,,,,,,218
338,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.24223584527091865,,,It,"(10, 12)",'s,"(13, 15)",time that a president stepped up ,"(16, 50)",,,,,,,,,,,,,,,,,218
339,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.4978219019954182,,,I,87,'m talking,"(89, 99)",Democrat,"(100, 108)",,,,,,,,,,,,,,,,,218
340,"""""It’s time that a president stepped up"" to address gun violence. ""And I’m talking Democrat and Republican presidents. They have not stepped up.""""",0.9327330412371158,,,a president,"(26, 37)",stepped up,"(38, 48)",,,,,,,,,time,"(16, 20)",,,,,,,,,218
341,"""The Navajo people who “live close” to Bears Ears National Monument “were all in support” of President Trump’s decision to shrink the protected land.""",0.3808945036672451,,,Monument,"(61, 69)",(is] National (of],"(52, 60)",Bears Ears,"(41, 51)",,,,,,,,,,,,,,,,,220
342,"""The Navajo people who “live close” to Bears Ears National Monument “were all in support” of President Trump’s decision to shrink the protected land.""",0.9218288056436976,,,The Navajo people,"(3, 20)",were,"(71, 75)",in support of President Trump's decision,"(80, 121)",,,,,,,,,,,,,,,,,220
343,"""The Navajo people who “live close” to Bears Ears National Monument “were all in support” of President Trump’s decision to shrink the protected land.""",0.7755203445549392,,,The Navajo people,"(3, 20)",live close,"(26, 36)",,,,,,,,,,,,,,,,,,,220
360,"""Marine vet Christopher Marquez was assaulted at a Washington, D.C., McDonald's retaurant by Black Lives Matter activists.""",0.9593192960512128,"Washington , D.C. Lives","(53, 106)",Marine vet Christopher Marquez,"(3, 33)",was assaulted,"(34, 47)",,,,,,,,,,,,,,,"at a Washington, D.C., McDonald's retaurant by Black","(48, 100)",,,227
361,"""Marine vet Christopher Marquez was assaulted at a Washington, D.C., McDonald's retaurant by Black Lives Matter activists.""",0.733729243862476,,,"Washington, D.C.","(53, 69)",Lives,"(101, 106)",,,,,,,,,,,,,,,,,,,227
373,"""An American Airlines pilot penned an essay about Muslims entitled ""You Worry Me.""""",0.9365537152932236,You Worry,"(71, 80)",An American Airlines pilot,"(3, 29)",penned,"(30, 36)",an essay about Muslims,"(37, 59)",,,,,,,,,,,,,,,,,234
374,"""An American Airlines pilot penned an essay about Muslims entitled ""You Worry Me.""""",0.4102866932483428,,,You,"(71, 74)",Worry,"(75, 80)",Me,"(81, 83)",,,,,,,,,,,,,,,,,234
375,"""An American Airlines pilot penned an essay about Muslims entitled ""You Worry Me.""""",0.8182346120370801,,,an essay about Muslims,"(37, 59)",entitled,"(60, 68)",,,,,,,,,,,,,,,,,,,234
387,"""Texas' is the only state flag authorized to be flown at the same height as the U.S. national flag.""",0.9199569125504766,,,the only state flag,"(13, 32)",to be flown,"(44, 55)",,,,,,,,,,,,,,,at the same height as the U.S. national flag,"(56, 100)",,,239
388,"""Texas' is the only state flag authorized to be flown at the same height as the U.S. national flag.""",0.7685182436997187,,,the only state flag,"(13, 32)",authorized,"(33, 43)",,,,,,,,,,,,,,,,,,,239
389,"""Texas' is the only state flag authorized to be flown at the same height as the U.S. national flag.""",0.9612584105285736,,,Texas,"(3, 8)",is,"(10, 12)",the only state flag authorized to be flown at the same height as the U.S. national flag,"(13, 100)",,,,,,,,,,,,,,,,,239
393,"""Facebook will donate money to help a child with cancer every time an appeal for help is liked or shared.""",0.8982330273114404,,,Facebook,"(6, 14)",will donate,"(15, 26)",money,"(27, 32)",to help a child with cancer every time shared,"(33, 78)",,,,,,,,,,,,,,,242
394,"""Facebook will donate money to help a child with cancer every time an appeal for help is liked or shared.""",0.7187763761764225,Facebook will donate to help,"(6, 40)",an appeal for help,"(72, 90)",is liked,"(91, 99)",,,,,,,,,,,,,,,,,,,242
395,"""Facebook will donate money to help a child with cancer every time an appeal for help is liked or shared.""",0.8982330273114404,Facebook will donate,"(6, 26)",Facebook,"(6, 14)",will donate money to help,"((15, 26), (27, 35))",a child,"(41, 48)",,,,,,,,,,,,,,,,,242
